"BehaviorSpace results (NetLogo 6.2.0)"
"Traffic Intersection Automated.nlogo"
"experiment-5"
"03/29/2021 00:06:19:058 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20"
"max-accel","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"freq-south","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"freq-east","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"yellow-length","10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,
"traffic-light?","false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"auto?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"freq-west","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"speed-limit","3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,
"max-brake","3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,
"freq-north","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"green-length","70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,
"[steps]","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000"

"[initial & final values]","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time","passed-cars","mean-wait-time","variance-wait-time"
,"843","4.320284697508898","13.94249481811695","841","4.4768133174791815","12.72984287715913","881","4.6753688989784346","16.28053973338005","833","4.237695078031216","12.087558672928962","867","4.919261822376008","14.009628982198763","815","3.9619631901840484","10.981375286988616","845","4.455621301775149","12.922586744161615","856","4.560747663551403","12.704253646606684","851","4.331374853113972","10.820860506958706","832","4.526442307692308","14.727666188979288","874","32.22883295194509","1008.6547293016154","876","31.554794520547937","956.5072715331196","863","33.73464658169172","971.1706072621163","867","34.02883506343714","995.3175076394622","848","32.07429245283019","931.9414145937155","819","33.77411477411475","963.9550808708312","819","33.554334554334616","938.991858501016","843","31.721233689205192","937.1571647888052","843","32.601423487544494","971.1246480329944","855","34.43040935672512","1017.8404787797954"
